Scenario,Borrowers,Monthly Revenue,Exposure,Default Rate,LGD,Expected Loss,Monthly Contribution,Annual Contribution,3-Year Contribution,3-Year Net Return,3-Year ROI,Payback Months
Optimistic,22000,198000,2200000,0.04,0.4,35200.0,162800.0,1953600.0,5860800.0,1360800.0,0.3024,27.64127764127764
Base,20000,160000,2000000,0.06,0.5,60000.0,100000.0,1200000.0,3600000.0,-900000.0,-0.2,45.0
Pessimistic,18000,126000,1800000,0.1,0.6,108000.0,18000.0,216000.0,648000.0,-3852000.0,-0.856,250.0
